id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
617,"",kg m-2 s-1,"",2016-10-03 18:27:47.791919,2016-10-03 18:27:47.791919,mesophyll_conductance,Infinity,-Infinity,"","","",""
4,maximum rubisco carboxylation capacity,umol [CO2] m-2 s-1,"",,2021-04-27 19:23:15.519764,Vcmax,500,0,,,,
312,"",m-2,"",2011-11-28 22:41:32,2011-11-28 22:41:32,Stalk number,Infinity,-Infinity,,,,
293,"",kg m-2 s-1,Updated units from mm s-1 to kg m-2 s-1 to reflect unit standardization,2011-05-26 18:29:12,2017-05-23 20:36:44.43346,stomatal_conductance,200,0,,,,
292,"",g m-2 day-1,"",2011-05-18 18:41:07,2011-06-06 14:40:42,root_production_rate,3000,0,,,,
7,Rd; leaf dark respiration,umol [CO2] m-2 s-1,"Not really ""dark respiration"" Often this is respiration that occurs in the light. Date and time fields ""should"" identify pre-dawn (nightime/dark)  leaf resp vs the Rd that comes from a A-Ci or A-PPFD curve",,2021-04-27 19:23:15.519764,leaf_respiration_rate_m2,500,0,,,,
348,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",m,"p 175 of Pérez-Harguindeguy et al 2013 New handbook for standardised measurement of plant functional traits worldwide. Australian Journal of Botany, 61, 167–234 http://www.publish.csiro.au/?paper=BT12225 doi:10.1071/BT12225",2012-01-12 20:24:21,2017-04-18 22:37:25.691007,canopy_height,Infinity,0,"","","",ecosystem
86,air temperature,degrees C,"",,2015-05-14 14:19:24.075225,airT,60,-50,air_temperature,K,"",
364,"",C,"",2012-03-13 16:48:19,2012-03-13 16:48:19,growth_temperture_night,Infinity,-Infinity,,,,
6,light and CO2 saturated maximum photosynthetic rate,umol [CO2] m-2 s-1,"Asat is saturated by light, with ambient CO2; see Amax for light + CO2 saturated photosynthesis (https://www.betydb.org/variables/158/).  

There isn't a clear convention on this: Asat and Amax definitions are sometimes reversed in the literature. But Asat and Amax are very different. ",,2021-04-27 19:24:31.481955,Amax,Infinity,0,,,,
9,Stomatal Conductance,mol [H2O] m-2 s-1,"the flux of H2O out of the leaf, assumed to be the same as the flux of CO2 out of the leaf

DUPLICATE.  TO BE REMOVED",,2021-04-27 19:24:44.701411,GS,5000,0,"","","",
58,date of bud break,DOY,The date/time stamp is used to indicate the observed date of bud burst,,2021-04-27 19:27:43.072836,date_of_bud_break,365,0,"","","",
